IGRA,LAT,LON,Number,Name,Fir_date,Last_date,Other_Number
HOM00078720,14.05,-87.25,1002.0,TEGUCIGALPA ,1002,1997,5493
HOM00078721,14.3667,-87.6167,628.0,SOTO CANO AB ,628,2012,298
HOW00011816,13.3,-87.1833,49.1,CHOLUTECA ,49,1975,767
HRM00013334,43.517,16.433,128.0,SPLIT/MARJAN ,128,1989,4568
HRM00014240,45.8219,16.0336,123.0,ZAGREB/MAKSIMIR ,123,2019,43985
HRM00014430,44.0969,15.3403,78.0,ZADAR RS ,78,2019,10804
HUM00012812,47.267,16.633,221.0,SZOMBATHELY ,221,1982,183
HUM00012843,47.4333,19.1833,138.0,BUDAPEST/PESTSZENTLORINC ,138,2019,55757
HUM00012942,46.0,18.233,203.0,PECS/POGANY ,203,1982,127
HUM00012982,46.25,20.1,82.0,SZEGED ,82,2019,36323
ICM00004018,63.9806,-22.595,52.0,KEFLAVIKURFLUGVOLLUR ,52,2019,65334
ICM00004089,65.2833,-14.4,23.0,EGILSSTADIR ,23,2019,2346
ICXUAE05424,65.7,-18.0,4.0,AKUREYRI ,4,1928,271
ICXUAE05425,64.13,-21.9,61.0,REYKJAVIK ,61,1939,270
IDM00096009,5.1833,97.1333,87.0,LHOKSEUMAWE/MALIKUSSALEH ,87,2019,23700
IDM00096011,5.5167,95.4167,21.0,BANDA ACEH/BLANG BINTANG ,21,2019,27011
IDM00096015,4.25,96.1167,90.0,MEULABOH/CUT NYAK DHIEN ,90,2019,11606
IDM00096035,3.6403,98.8786,25.0,KUALANAMU MEDAN ,25,2019,43512
IDM00096073,1.55,98.8833,3.0,SIBOLGA/PINANGSORI ,3,2019,23044
IDM00096075,1.2667,97.6,6.0,GUNUNG SITOLI/BINAKA ,6,2019,13968
IDM00096091,0.9167,104.5333,18.0,TANJUNG PINANG/KIJANG ,18,2019,21434
IDM00096109,0.4667,101.45,31.0,PEKAN BARU/SIMPANGTIGA ,31,2019,22142
IDM00096145,3.2,106.25,3.0,TAREMPA ,3,2019,12362
IDM00096147,3.95,108.3833,2.0,RANAI ,2,2019,23400
